#,geo_TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,AL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73.5
1,AT,87.4 ,87.8 ,86.4 ,87.5 ,86.5 ,87.3 ,87.3 ,87.9 ,87.4 ,86.3
2,BE,86.6 ,87.3 ,85.8 ,86.8 ,88.0 ,88.2 ,88.5 ,89.3 ,89.5 ,90.3
3,BG,81.8 ,82.7 ,83.0 ,81.2 ,82.9 ,83.5 ,84.0 ,85.4 ,87.5 ,87.1
4,CH,0 ,0 ,88.7 ,89.8 ,89.3 ,90.5 ,88.6 ,89.4 ,90.8 ,90.4
5,CY,89.6 ,85.2 ,80.4 ,82.4 ,81.5 ,82.6 ,83.4 ,86.4 ,87.2 ,87.6
6,CZ,88.8 ,89.8 ,90.4 ,90.6 ,90.8 ,90.7 ,91.2 ,91.8 ,92.7 ,92.7
7,DE,87.4 ,85.8 ,88.1 ,88.0 ,88.0 ,88.5 ,88.7 ,89.2 ,89.6 ,90.4
8,DK,84.6 ,85.0 ,86.9 ,88.7 ,88.6 ,89.4 ,88.4 ,88.7 ,86.9 ,87.6
9,EA,85.2 ,84.8 ,84.5 ,85.6 ,85.4 ,85.5 ,86.3 ,86.9 ,87.1 ,86.3
10,EA18,85.2 ,84.8 ,84.5 ,85.6 ,85.3 ,85.4 ,86.2 ,86.9 ,87.1 ,86.3
11,EA19,85.2 ,84.8 ,84.5 ,85.6 ,85.4 ,85.5 ,86.3 ,86.9 ,87.1 ,86.3
12,EE,87.0 ,87.2 ,86.9 ,88.5 ,88.9 ,89.8 ,90.7 ,91.1 ,90.9 ,88.6
13,EL,77.7 ,78.4 ,74.4 ,73.1 ,75.2 ,75.8 ,78.8 ,78.3 ,79.4 ,80.6
14,ES,78.7 ,77.2 ,75.4 ,75.7 ,77.3 ,78.4 ,78.6 ,80.5 ,81.2 ,79.2
15,EU,86.3 ,85.9 ,85.8 ,86.6 ,86.6 ,86.9 ,87.4 ,87.8 ,88.1 ,0
16,EU27_2007,86.4 ,86.0 ,85.9 ,86.7 ,86.7 ,87.0 ,87.5 ,87.9 ,88.1 ,0
17,EU27_2020,85.9 ,85.5 ,85.3 ,86.2 ,86.2 ,86.4 ,87.0 ,87.5 ,87.8 ,87.2
18,EU28,86.3 ,85.9 ,85.8 ,86.6 ,86.6 ,86.9 ,87.4 ,87.8 ,88.1 ,0
19,FI,81.2 ,85.5 ,84.5 ,84.4 ,82.7 ,82.7 ,83.9 ,83.9 ,85.3 ,85.5
20,FR,89.3 ,89.2 ,87.7 ,90.3 ,87.4 ,88.0 ,88.4 ,88.8 ,89.0 ,87.3
21,HR,76.1 ,76.7 ,75.4 ,0 ,77.1 ,78.8 ,80.2 ,81.9 ,83.9 ,83.1
22,HU,85.6 ,85.0 ,84.0 ,85.6 ,86.2 ,88.2 ,89.0 ,88.9 ,87.5 ,88.6
23,IE,83.0 ,80.8 ,81.0 ,81.7 ,85.2 ,87.0 ,88.0 ,88.9 ,87.6 ,88.0
24,IS,87.5 ,86.9 ,88.0 ,85.6 ,87.0 ,87.1 ,87.4 ,92.0 ,0 ,0
25,IT,82.5 ,83.8 ,84.0 ,86.7 ,86.0 ,85.4 ,85.7 ,86.1 ,85.7 ,83.0
26,LT,83.9 ,85.8 ,87.2 ,87.5 ,88.4 ,88.4 ,88.8 ,88.8 ,86.7 ,87.4
27,LU,91.6 ,91.6 ,90.5 ,91.8 ,91.2 ,90.0 ,90.8 ,89.8 ,89.0 ,90.3
28,LV,79.4 ,80.0 ,82.2 ,85.0 ,85.8 ,86.3 ,87.2 ,87.0 ,87.2 ,86.5
29,ME,0 ,0 ,0 ,0 ,0 ,65.0 ,70.7 ,72.8 ,75.2 ,73.4
30,MK,69.8 ,70.8 ,0 ,70.6 ,72.8 ,72.8 ,74.3 ,74.2 ,75.3 ,75.6
31,MT,92.9 ,92.2 ,92.2 ,93.1 ,93.3 ,93.4 ,93.5 ,94.3 ,95.5 ,95.4
32,NL,91.9 ,92.5 ,90.2 ,90.1 ,90.2 ,88.6 ,90.9 ,91.4 ,91.1 ,92.3
33,NO,92.0 ,92.3 ,92.4 ,92.2 ,91.2 ,91.2 ,90.7 ,91.0 ,90.8 ,92.0
34,PL,88.3 ,87.3 ,86.8 ,87.6 ,87.4 ,87.9 ,88.0 ,86.9 ,88.4 ,88.6
35,PT,82.8 ,79.6 ,78.0 ,78.9 ,80.9 ,82.9 ,85.3 ,85.9 ,86.3 ,84.1
36,RO,93.9 ,93.5 ,94.8 ,94.5 ,94.6 ,94.5 ,94.8 ,95.5 ,95.8 ,96.0
37,RS,0 ,0 ,0 ,69.1 ,67.7 ,67.2 ,66.4 ,66.3 ,69.3 ,68.9
38,SE,87.6 ,88.0 ,88.0 ,86.7 ,89.8 ,90.9 ,89.2 ,90.6 ,90.1 ,89.6
39,SI,84.1 ,84.8 ,82.2 ,83.1 ,84.1 ,85.5 ,86.9 ,87.4 ,89.0 ,89.0
40,SK,86.3 ,86.8 ,86.0 ,86.0 ,86.9 ,87.8 ,0 ,0 ,90.8 ,91.3
41,TR,0 ,0 ,0 ,91.0 ,89.8 ,90.1 ,89.8 ,90.4 ,89.0 ,87.1
42,UK,89.6 ,88.7 ,89.5 ,89.3 ,89.9 ,90.3 ,90.4 ,90.0 ,0 ,0
